article_id,product_code,prod_name,product_type_no,product_type_name,product_group_name,graphical_appearance_no,graphical_appearance_name,colour_group_code,colour_group_name,perceived_colour_value_id,perceived_colour_value_name,perceived_colour_master_id,perceived_colour_master_name,department_no,department_name,index_code,index_name,index_group_no,index_group_name,section_no,section_name,garment_group_no,garment_group_name,detail_desc
108775015,108775,Strap top,253,Vest top,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Jersey top with narrow shoulder straps.
108775044,108775,Strap top,253,Vest top,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Jersey top with narrow shoulder straps.
108775051,108775,Strap top (1),253,Vest top,Garment Upper body,1010017,Stripe,11,Off White,1,Dusty Light,9,White,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Jersey top with narrow shoulder straps.
110065001,110065,OP T-shirt (Idro),306,Bra,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
110065002,110065,OP T-shirt (Idro),306,Bra,Underwear,1010016,Solid,10,White,3,Light,9,White,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
110065011,110065,OP T-shirt (Idro),306,Bra,Underwear,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
111565001,111565,20 den 1p Stockings,304,Underwear Tights,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,"Semi shiny nylon stockings with a wide, reinforced trim at the top. Use with a suspender belt. 20 denier."
111565003,111565,20 den 1p Stockings,302,Socks,Socks & Tights,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,"Semi shiny nylon stockings with a wide, reinforced trim at the top. Use with a suspender belt. 20 denier."
111586001,111586,Shape Up 30 den 1p Tights,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Tights with built-in support to lift the bottom. Black in 30 denier and light amber in 15 denier.
111593001,111593,Support 40 den 1p Tights,304,Underwear Tights,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,"Semi shiny tights that shape the tummy, thighs and calves while also encouraging blood circulation in the legs. Elasticated waist."
111609001,111609,200 den 1p Tights,304,Underwear Tights,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Opaque matt tights. 200 denier.
112679048,112679,SWEATSHIRT  OC,252,Sweater,Garment Upper body,1010001,All over pattern,7,Grey,1,Dusty Light,12,Grey,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Sweatshirt in soft organic cotton with a  press-stud on one shoulder (sizes 12-18 months and 18-24 months without a press-stud). Brushed inside.
112679052,112679,SWEATSHIRT  OC,252,Sweater,Garment Upper body,1010001,All over pattern,71,Light Blue,1,Dusty Light,2,Blue,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Sweatshirt in soft organic cotton with a  press-stud on one shoulder (sizes 12-18 months and 18-24 months without a press-stud). Brushed inside.
114428026,114428,Alice BANDEAU 2-p,306,Bra,Underwear,1010017,Stripe,10,White,3,Light,9,White,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear",Two soft bandeau bras in soft jersey with side support and a silicone trim at the top.
114428030,114428,Alice BANDEAU 2-p,306,Bra,Underwear,1010016,Solid,6,Light Grey,1,Dusty Light,12,Grey,1334,Casual Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear",Two soft bandeau bras in soft jersey with side support and a silicone trim at the top.
116379047,116379,Frugan longsleeve,254,Top,Garment Upper body,1010016,Solid,73,Dark Blue,4,Dark,2,Blue,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,Fitted top in soft stretch jersey with a wide neckline and long sleeves.
118458003,118458,Jerry jogger bottoms,272,Trousers,Garment Lower body,1010010,Melange,8,Dark Grey,4,Dark,12,Grey,5883,Jersey Basic,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458004,118458,Jerry jogger bottoms,272,Trousers,Garment Lower body,1010010,Melange,7,Grey,2,Medium Dusty,12,Grey,5883,Jersey Basic,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458028,118458,Jerry jogger bottoms,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,5883,Jersey Basic,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458029,118458,Jerry jogger bottoms,272,Trousers,Garment Lower body,1010010,Melange,8,Dark Grey,4,Dark,12,Grey,5883,Jersey Basic,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458034,118458,Jerry jogger bottoms,272,Trousers,Garment Lower body,1010016,Solid,52,Pink,2,Medium Dusty,4,Pink,5883,Jersey Basic,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458038,118458,Jerry jogger bottoms,272,Trousers,Garment Lower body,1010010,Melange,9,Black,4,Dark,12,Grey,5883,Jersey Basic,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
118458039,118458,Jerry jogger bottoms,272,Trousers,Garment Lower body,1010010,Melange,73,Dark Blue,2,Medium Dusty,6,Lilac Purple,5883,Jersey Basic,F,Menswear,3,Menswear,26,Men Underwear,1002,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
120129001,120129,Babette long,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,2032,Jersey,A,Ladieswear,1,Ladieswear,8,Mama,1005,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
120129014,120129,Babette long,273,Leggings/Tights,Garment Lower body,1010010,Melange,9,Black,4,Dark,12,Grey,2032,Jersey,A,Ladieswear,1,Ladieswear,8,Mama,1005,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
120129018,120129,Babette long,273,Leggings/Tights,Garment Lower body,1010016,Solid,43,Dark Red,4,Dark,18,Red,2032,Jersey,A,Ladieswear,1,Ladieswear,8,Mama,1005,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
120129025,120129,Babette long,273,Leggings/Tights,Garment Lower body,1010001,All over pattern,8,Dark Grey,4,Dark,12,Grey,2032,Jersey,A,Ladieswear,1,Ladieswear,8,Mama,1005,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
123173001,123173,Control Top 50 den 1p Tights,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,50 denier tights with reinforcement at the top for a shaping effect on the tummy and thighs.
126589006,126589,2p Claw,72,Hair clip,Accessories,1010016,Solid,9,Black,4,Dark,5,Black,4342,EQ & Special Collections,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Plastic hair claws. Width 3.5 cm.
126589007,126589,2p Claw,72,Hair clip,Accessories,1010019,Transparent,15,Greyish Beige,4,Dark,1,Mole,4342,EQ & Special Collections,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Plastic hair claws. Width 3.5 cm.
126589010,126589,2p Claw,72,Hair clip,Accessories,1010011,Metallic,31,Light Orange,3,Light,3,Orange,4342,EQ & Special Collections,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Plastic hair claws. Width 3.5 cm.
126589011,126589,2p Claw,72,Hair clip,Accessories,1010011,Metallic,3,Silver,3,Light,15,Metal,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Plastic hair claws. Width 3.5 cm.
126589012,126589,2p Claw,72,Hair clip,Accessories,1010011,Metallic,5,Gold,5,Bright,15,Metal,4343,Hair Accessories,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Plastic hair claws. Width 3.5 cm.
129085001,129085,Pirate Leggings (1),273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.
129085026,129085,Pirate Leggings (1),273,Leggings/Tights,Garment Lower body,1010016,Solid,10,White,3,Light,9,White,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.
129085027,129085,Pirate Leggings (1),273,Leggings/Tights,Garment Lower body,1010010,Melange,7,Grey,1,Dusty Light,12,Grey,1676,Jersey Basic,A,Ladieswear,1,Ladieswear,16,Womens Everyday Basics,1002,Jersey Basic,3/4-length leggings in stretch jersey with an elasticated waist.
130035001,130035,Black Umbrella,532,Umbrella,Items,1010016,Solid,9,Black,4,Dark,5,Black,3419,Other items,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Umbrella with a telescopic handle and matching cover. Length 23 cm folded.
141661022,141661,Velour pyjama,295,Pyjama jumpsuit/playsuit,Nightwear,1010002,Application/3D,10,White,3,Light,9,White,6563,Baby Nightwear,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1017,"Under-, Nightwear","Velour pyjamas with an appliqué detail at the front and on the feet, and press-studs along one side and leg."
141661025,141661,Velour pyjama,295,Pyjama jumpsuit/playsuit,Nightwear,1010002,Application/3D,51,Light Pink,1,Dusty Light,4,Pink,6563,Baby Nightwear,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1017,"Under-, Nightwear","Velour pyjamas with an appliqué detail at the front and on the feet, and press-studs along one side and leg."
144993001,144993,Mama 100 den 1p Tights,304,Underwear Tights,Socks & Tights,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Matt tights with an elasticated waist and extra space for a growing tummy. 100 denier.
145872001,145872,Dorian l/s basic,252,Sweater,Garment Upper body,1010016,Solid,9,Black,4,Dark,5,Black,8559,Men Sport Woven,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
145872037,145872,Dorian l/s basic,252,Sweater,Garment Upper body,1010010,Melange,8,Dark Grey,4,Dark,12,Grey,8559,Men Sport Woven,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
145872043,145872,Dorian l/s basic,252,Sweater,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,8559,Men Sport Woven,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
145872051,145872,Dorian l/s basic,254,Top,Garment Upper body,1010010,Melange,9,Black,4,Dark,5,Black,8559,Men Sport Woven,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
145872052,145872,Dorian l/s basic,252,Sweater,Garment Upper body,1010010,Melange,73,Dark Blue,4,Dark,2,Blue,8559,Men Sport Woven,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
145872053,145872,Dorian l/s basic,252,Sweater,Garment Upper body,1010010,Melange,8,Dark Grey,4,Dark,12,Grey,8559,Men Sport Woven,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Long-sleeved sports top in fast-drying, breathable functional fabric with overlocked seams for optimum comfort. Some of the polyester content of the top is recycled."
146706001,146706,Tanktop body white 3PACK,256,Bodysuit,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
146706004,146706,Tanktop body white 3PACK,256,Bodysuit,Garment Upper body,1010016,Solid,10,White,3,Light,9,White,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
146706005,146706,3P TANKTOP BODY,256,Bodysuit,Garment Upper body,1010016,Solid,6,Light Grey,1,Dusty Light,12,Grey,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.
146721001,146721,Hair Ring,73,Hair string,Accessories,1010016,Solid,5,Gold,5,Bright,15,Metal,4342,EQ & Special Collections,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Hair clip in the shape of a metal ring that opens and has a hair elastic inside.
146721002,146721,Hair Ring,73,Hair string,Accessories,1010016,Solid,3,Silver,3,Light,15,Metal,4342,EQ & Special Collections,C,Ladies Accessories,1,Ladieswear,66,Womens Small accessories,1019,Accessories,Hair clip in the shape of a metal ring that opens and has a hair elastic inside.
146730001,146730,200 den 1p leggings,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Opaque matt leggings with an elasticated waist. 200 denier.
147339034,147339,6P SS BODY,256,Bodysuit,Garment Upper body,1010001,All over pattern,10,White,3,Light,9,White,6515,Baby basics,G,Baby Sizes 50-98,4,Baby/Children,44,Baby Essentials & Complements,1002,Jersey Basic,Short-sleeved bodysuits in organic cotton jersey with press-studs at the crotch.
148033001,148033,Nouvelle 1p Stay Up,273,Leggings/Tights,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.
148033006,148033,Nouvelle 1p Stay Up,302,Socks,Socks & Tights,1010016,Solid,13,Beige,2,Medium Dusty,11,Beige,3608,Tights basic,B,Lingeries/Tights,1,Ladieswear,62,"Womens Nightwear, Socks & Tigh",1021,Socks and Tights,Semi shiny stay-ups with a wide lace trim at the top and silicone on the inside. 20 denier.
150959011,150959,THOMPSON woven sport pants,272,Trousers,Garment Lower body,1010016,Solid,9,Black,4,Dark,5,Black,8394,Men Sport Bottoms,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Mesh-lined side pockets, a concealed key pocket in the waistband, a zip at the hems, and reflective details. Regular fit."
150959013,150959,THOMPSON woven sport pants,272,Trousers,Garment Lower body,1010016,Solid,8,Dark Grey,4,Dark,12,Grey,8394,Men Sport Bottoms,S,Sport,26,Sport,22,Men H&M Sport,1005,Jersey Fancy,"Running trousers in fast-drying, breathable functional fabric with elastication and a concealed drawstring at the waist. Mesh-lined side pockets, a concealed key pocket in the waistband, a zip at the hems, and reflective details. Regular fit."
153115019,153115,OP Strapless^,306,Bra,Underwear,1010016,Solid,9,Black,4,Dark,5,Black,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
153115020,153115,OP Strapless^,306,Bra,Underwear,1010016,Solid,12,Light Beige,1,Dusty Light,11,Beige,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
153115021,153115,OP Strapless^,306,Bra,Underwear,1010016,Solid,10,White,3,Light,9,White,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
153115039,153115,OP Strapless^,306,Bra,Underwear,1010016,Solid,53,Dark Pink,7,Medium,6,Lilac Purple,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
153115040,153115,OP Strapless^,306,Bra,Underwear,1010016,Solid,17,Yellowish Brown,2,Medium Dusty,13,Brown,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
153115043,153115,OP Strapless^,306,Bra,Underwear,1010016,Solid,17,Yellowish Brown,4,Dark,13,Brown,1339,Clean Lingerie,B,Lingeries/Tights,1,Ladieswear,61,Womens Lingerie,1017,"Under-, Nightwear","Strapless bra in microfibre with underwired, padded cups that lift and shape the bust. Silicone trim at the top and a hook-and-eye fastening at the back. Detachable, adjustable shoulder straps and side support."
